Run UID,Purpose,Sample Type,Sample Concentration,Layout,Result comments
010725_NB2_v4_71_CS_MS2_NTC,ADF Training-NTC,Negative,0,"PC,PC,PC,PC,PC",
010725_NB2_v4_71_HS_A2_NTC,ADF Training-NTC,Negative,0,"A2,A2,A2,A2,A2",
010725_NB2_v4_71_HS_A2_PC_Swab,ADF Training-PC,Positive,1000,"A2,A2,A2,A2,A2",
011725_NB1_v4_71_CS_MS2_NTC,ADF Training-NTC,Negative,0,"PC,PC,PC,PC,PC",
011725_NB1_v4_71_HS_A2_NTC,ADF Training-NTC,Negative,0,"A2,A2,A2,A2,A2",
011725_NB1_v4_71_HS_A2_PC_Swab,ADF Training-PC,Positive,1000,"A2,A2,A2,A2,A2",
081424_NB1_A2_NTC_1,ADF Training-NTC,Negative,0,"A2,A2,A2,A2,A2",
081424_NB1_A2_NTC_2,ADF Training-NTC,Negative,0,"A2,A2,A2,A2,A2",
081424_NB1_A2_NTC_3,ADF Training-NTC,Negative,0,"A2,A2,A2,A2,A2",
081424_NB1_A2_PC_1,ADF Training-PC,Positive,1000,"A2,A2,A2,A2,A2",
081424_NB1_A2_PC_2,ADF Training-PC,Positive,1000,"A2,A2,A2,A2,A2",
081424_NB1_A2_PC_3,ADF Training-PC,Positive,1000,"A2,A2,A2,A2,A2",
081424_NB1_MS2_NTC_1,ADF Training-NTC,Negative,0,"PC,PC,PC,PC,PC",
081424_NB1_MS2_NTC_2,ADF Training-NTC,Negative,0,"PC,PC,PC,PC,PC",
081424_NB1_MS2_NTC_3,ADF Training-NTC,Negative,0,"PC,PC,PC,PC,PC",
081424_NB2_A2_NTC_1,ADF Training-NTC,Negative,0,"A2,A2,A2,A2,A2",
081424_NB2_A2_NTC_2,ADF Training-NTC,Negative,0,"A2,A2,A2,A2,A2",
081424_NB2_A2_NTC_3,ADF Training-NTC,Negative,0,"A2,A2,A2,A2,A2",
081424_NB2_A2_PC_1,ADF Training-PC,Positive,1000,"A2,A2,A2,A2,A2",
081424_NB2_A2_PC_2,ADF Training-PC,Positive,1000,"A2,A2,A2,A2,A2",
081424_NB2_A2_PC_3,ADF Training-PC,Positive,1000,"A2,A2,A2,A2,A2",
081424_NB2_MS2_NTC_1,ADF Training-NTC,Negative,0,"PC,PC,PC,PC,PC",
081424_NB2_MS2_NTC_2,ADF Training-NTC,Negative,0,"PC,PC,PC,PC,PC",
081424_NB2_MS2_NTC_3,ADF Training-NTC,Negative,0,"PC,PC,PC,PC,PC",
